#,university,size,U.S. News,csrankings.org,placement rank,best paper awards,total
1,Carnegie Mellon University+,223,1,1,4,2,8
2,Massachusetts Institute of Technology+,117,1,5,1,4,11
3,"University of California, Berkeley+",80,1,6,3,5,15
4,Stanford University+,71,1,11,2,3,17
5,University of Illinois at Urbana-Champaign+,103,5,2,5,8,20
6,Cornell University+,93,6,7,6,7,26
6,University of Washington+,93,7,9,9,1,26
8,Georgia Institute of Technology+,119,7,3,10,12,32
9,University of Michigan+,85,10,8,11,6,35
10,University of Toronto+,99,1,14,12,9,36
11,University of Texas at Austin+,71,7,15,13,10,45
12,"University of California, San Diego+",91,13,3,24,13,53
13,Princeton University+,60,10,20,8,16,54
14,University of Maryland+,62,17,10,15,15,57
15,University of Wisconsin-Madison+,71,13,16,20,19,68
15,University of Waterloo+,91,1,18,29,20,68
17,Columbia University+,65,12,21,23,18,74
18,"University of California, Los Angeles+",49,13,22,16,24,75
19,University of British Columbia+,52,3,31,34,11,79
20,Purdue University+,68,19,13,18,33,83
21,University of Pennsylvania+,66,19,19,14,32,84
22,University of Massachusetts Amherst+,61,24,24,27,14,89
23,University of Chicago+,52,24,26,28,22,100
24,New York University+,69,27,17,41,21,106
25,Harvard University+,39,17,36,7,48,108
26,University of Southern California+,67,21,23,26,42,112
27,Northwestern University+,83,27,28,31,28,114
28,"University of California, Irvine+",64,27,26,51,17,121
28,Brown University+,45,27,49,19,26,121
30,Rice University+,38,27,49,21,30,127
31,Duke University+,39,21,29,25,54,129
31,McGill University+,32,4,63,39,23,129
33,Simon Fraser University+,44,6,41,32,51,130
34,Ohio State University+,46,27,39,37,29,132
35,University of Virginia+,60,36,36,30,35,137
36,Rutgers University+,53,42,35,36,27,140
37,Northeastern University+,84,27,12,64,43,146
37,Yale University+,43,21,39,22,64,146
39,Pennsylvania State University+,62,40,32,33,49,154
40,California Institute of Technology+,19,13,73,17,61,164
41,University of Minnesota+,52,36,49,35,50,170
42,Johns Hopkins University+,35,24,54,40,53,171
43,Virginia Tech+,56,36,56,48,36,176
44,University of Colorado Boulder+,68,40,53,53,31,177
44,University of Alberta+,42,5,73,65,34,177
46,"University of California, Santa Barbara+",33,27,32,44,75,178
46,North Carolina State University+,51,50,42,49,37,178
48,"University of California, Davis+",30,36,46,61,41,184
49,Stony Brook University+,57,45,25,47,79,196
50,University of Utah+,52,42,34,59,67,202
51,Texas A&M University+,70,45,38,46,78,207
52,Indiana University Bloomington+,60,50,57,58,47,212
53,Arizona State University+,60,45,47,50,71,213
54,Washington University in St. Louis+,39,42,60,45,72,219
55,University of Rochester+,34,50,61,42,69,222
56,Oregon State University+,43,70,55,85,25,235
57,University of Notre Dame+,35,56,63,79,46,244
58,Dartmouth College+,17,50,68,63,66,247
58,Iowa State University+,30,64,83,62,38,247
60,University of Florida+,44,45,73,54,76,248
61,College of William & Mary+,23,70,69,67,45,251
61,Université de Montréal+,15,7,83,87,74,251
63,Michigan State University+,32,56,61,72,63,252
64,University of Calgary+,24,8,94,90,62,254
65,University at Buffalo+,27,61,52,88,56,257
66,"University of California, Riverside+",43,56,29,86,89,260
67,University of Pittsburgh+,21,56,67,56,82,261
68,Boston University+,45,45,48,76,93,262
69,University of Illinois at Chicago+,57,61,42,78,82,263
70,University of Central Florida+,39,70,57,60,77,264
71,"University of California, Santa Cruz+",37,50,42,66,110,268
72,University of Victoria+,,12,89,109,65,275
73,Tufts University+,24,56,69,71,80,276
74,University of North Carolina at Chapel Hill+,40,27,164,43,44,278
75,Queen's University+,1,9,128,75,68,280
76,University of Arizona+,27,61,83,57,81,282
77,Concordia University+,,17,89,130,59,295
78,"University of Maryland, Baltimore County+",30,77,94,73,52,296
79,George Mason University+,47,64,42,74,,302
80,University of Texas at Dallas+,52,64,59,97,96,316
81,Case Western Reserve University+,13,77,105,82,55,319
82,University of Oregon+,15,64,94,107,60,325
83,Vanderbilt University+,43,50,83,77,,332
83,University of Nebraska-Lincoln+,20,86,114,92,40,332
85,University of Delaware+,21,70,79,69,119,337
85,Stevens Institute of Technology+,19,77,79,93,88,337
87,Rensselaer Polytechnic Institute+,20,64,105,52,,343
88,Florida State University+,25,77,73,91,107,348
89,Carleton University+,,14,94,171,70,349
90,Dalhousie University+,,15,105,108,,350
91,Washington State University+,40,86,94,55,116,351
92,McMaster University+,,10,135,112,103,360
93,Toyota Technological Institute at Chicago+,12,77,89,142,58,366
93,University of Saskatchewan+,,19,151,139,57,366
95,Drexel University+,10,86,89,103,94,372
96,Syracuse University+,12,77,114,81,102,374
97,University of Connecticut+,23,77,69,110,,378
98,University of Texas at Arlington+,24,96,63,131,91,381
99,Clemson University+,36,86,83,104,109,382
99,University of Iowa+,17,77,94,89,,382
101,Binghamton University+,36,96,69,100,,387
102,Worcester Polytechnic Institute+,26,86,79,122,101,388
103,University of Ottawa+,,15,120,133,,390
104,University of North Carolina at Charlotte+,29,96,105,94,97,392
105,Brigham Young University+,9,120,114,38,,394
106,George Washington University+,15,70,105,111,111,397
107,Georgetown University+,18,70,89,124,117,400
108,New Jersey Institute of Technology+,3,86,73,123,,404
109,University of New Mexico+,14,105,128,99,73,405
110,University of Georgia+,,86,73,125,,406
111,University of Tennessee+,32,86,94,106,,408
112,Rochester Institute of Technology+,12,70,63,156,,411
113,Emory University+,16,64,88,161,99,412
114,Lehigh University+,19,86,94,127,107,414
115,Wayne State University+,9,110,105,80,,417
116,University of South Florida+,15,105,94,101,118,418
116,Brandeis University+,17,110,128,68,112,418
118,Illinois Institute of Technology+,19,96,120,95,113,424
119,Florida International University+,2,110,94,115,106,425
119,University of Kansas+,13,105,128,70,,425
121,Temple University+,18,96,105,145,82,428
122,University of Houston+,25,110,94,113,,439
123,Auburn University+,,86,128,136,90,440
124,Kansas State University+,,110,135,83,,450
125,Portland State University+,,132,114,114,92,452
126,DePaul University+,,148,135,138,39,460
127,Université de Sherbrooke+,,18,135,,,467
128,Louisiana State University+,,120,128,98,,468
129,University of South Carolina+,,110,120,117,,469
130,"University of California, Merced+",,96,79,174,,471
131,University of North Texas+,,132,105,153,82,472
132,University of Texas at San Antonio+,,120,120,140,95,475
133,University of Kentucky+,,105,120,154,97,476
134,Colorado School of Mines+,12,77,105,185,,489
135,Colorado State University+,17,96,114,163,120,493
136,University of Missouri+,,110,151,116,,499
137,New Mexico State University+,14,132,151,96,,501
138,University of Arkansas+,17,132,135,121,,510
139,University of Oklahoma+,,120,120,151,,513
140,University of Cincinnati+,,110,135,148,,515
141,University of Windsor+,,19,185,,,518
142,State University of New York at Albany+,,120,151,126,,519
143,Southern Methodist University+,,132,164,102,,520
144,University of Massachusetts Lowell+,,120,114,167,,523
145,University of Louisiana at Lafayette+,,148,135,120,,525
146,University of Alabama+,,105,164,135,,526
147,Western University+,,11,,,,527
148,York University+,,13,,,,529
149,Naval Postgraduate School+,16,96,164,191,82,533
150,University of Massachusetts Boston+,,120,128,169,,539
150,Kent State University+,,148,135,134,,539
152,University of Tulsa+,11,176,164,84,,546
152,Mississippi State University+,,132,164,128,,546
154,Texas Tech University+,,148,135,144,,549
155,Ohio University+,,132,164,172,82,550
156,University of Hawaii at Manoa+,,120,135,,104,551
157,"University of Nevada, Reno+",11,176,135,119,,552
158,Utah State University+,,120,135,176,,553
159,University of New Hampshire+,,120,120,,,554
160,Old Dominion University+,,148,151,137,,558
161,Georgia State University+,,110,135,,,559
162,University of Rhode Island+,19,148,185,105,,560
163,Michigan Technological University+,,132,135,175,,564
164,University of Vermont+,,148,151,147,,568
165,"University of Colorado, Colorado Springs+",,132,135,183,,572
166,Florida Atlantic University+,,148,151,152,,573
166,University of Miami+,,132,164,155,,573
168,Indiana University - Purdue University Indianapolis+,,110,151,,,575
169,University of Memphis+,,163,120,190,105,578
170,University of Louisville+,,132,164,162,,580
171,Missouri University of Science and Technology+,,132,185,143,,582
172,West Virginia University+,,132,151,,120,595
173,Virginia Commonwealth University+,,148,135,,,597
174,Howard University+,,120,,157,,601
175,Oklahoma State University-Stillwater+,,148,185,149,,604
176,University of Nebraska Omaha+,,163,151,170,,606
177,Oregon Health & Science University+,,163,164,158,,607
178,University of Texas at El Paso+,,163,164,160,,609
179,University of Idaho+,,163,185,141,,611
180,Rutgers University-Newark+,,96,,,,612
181,Oakland University+,,198,164,129,,613
182,Western Michigan University+,,187,185,132,114,618
183,University of Alabama at Birmingham+,,132,185,182,,621
184,University of Colorado Denver+,,163,164,173,,622
185,University of Wisconsin-Milwaukee+,,148,164,,,626
185,Boise State University+,,148,164,,,626
185,"University of Nevada, Las Vegas+",,148,164,,,626
188,University of Michigan-Dearborn+,,176,151,180,,629
188,Clarkson University+,,187,,118,,629
190,University of Wyoming+,,163,164,181,,630
191,Air Force Institute of Technology+,,132,185,,,631
191,University of Maine+,1,148,,159,,631
193,Montana State University - Bozeman+,,163,164,187,,636
193,"Graduate Center, CUNY+",,120,,,,636
195,University of Missouri-Kansas City+,,163,164,188,,637
196,Wichita State University+,,176,151,,,641
197,Northern Arizona University+,,187,151,186,,646
198,Florida Institute of Technology+,,148,185,,,647
199,University of Mississippi+,,132,,,,648
200,Santa Clara University+,13,163,,166,,653
201,University of Denver+,,187,164,,114,657
202,University of Alabama in Huntsville+,,163,185,,,662
203,New Mexico Institute of Mining and Technology+,,176,185,184,,667
204,Pace University+,,198,,146,,668
205,Tennessee Technological University+,,198,,150,,672
206,Southern Illinois University Carbondale+,,176,185,,,675
206,North Dakota State University+,,176,185,,,675
206,Towson University+,,176,185,,,675
206,University of Arkansas at Little Rock+,,176,185,,,675
210,University of Southern Mississippi+,,198,164,,,676
210,Louisiana Tech University+,,187,,165,,676
212,North Carolina Agricultural and Technical State University+,,163,,,,679
212,Wright State University+,,163,,,,679
214,University of New Orleans+,,198,185,179,,684
215,University of Bridgeport+,,198,,164,,686
216,Marquette University+,,176,,189,,689
216,University of Toledo+,,187,,178,,689
218,"Embry-Riddle Aeronautical University, Daytona Beach+",,176,,,,692
219,University of South Alabama+,,205,,168,,697
220,Chapman University+,,205,,,100,699
221,Bowie State University+,,187,,,,703
221,Dakota State University+,,187,,,,703
221,Kennesaw State University+,,187,,,,703
221,Tennessee State University+,,187,,,,703
221,University of Puerto Rico-Mayaguez+,,187,,,,703
226,Nova Southeastern University+,,205,185,,,704
227,The Catholic University of America+,,205,,177,,706
228,Claremont Graduate University+,,198,,,,714
229,LIU Post+,,205,,,,721
229,Walden University+,,205,,,,721
